county_fips,HPSA Score,State,County,Rural-urban score,Population,Birth rate,Death rate,% poverty (ages 0-17),Unemployment rate,Median Income,"% adults, < HS diploma","% adults, HS diploma only","% adults, some college","% adults, college degree or higher",Population change,pop / PC,"pop / PC, MD only","pop / PC, NP only"
48495,13.0,TX,Winkler County,6.0,7872.0,16.3,6.4,22.0,7.7,94.2,31.9,28.7,29.0,10.3,-0.015625,7872.0,7872.0,7872.0
48233,17.0,TX,Hutchinson County,6.0,21570.0,14.3,11.3,19.0,5.6,95.3,15.1,30.5,39.1,15.3,-0.009782104775150673,1960.909090909091,2396.6666666666665,10785.0
48169,17.0,TX,Garza County,6.0,6444.0,10.8,4.4,32.0,3.9,78.1,43.0,26.9,21.3,8.8,0.011638733705772812,3222.0,6444.0,6444.0
48045,13.0,TX,Briscoe County,9.0,1486.0,6.0,11.3,26.0,4.4,76.7,22.5,26.6,27.9,23.0,-0.01816958277254374,1486.0,1486.0,1486.0
48193,10.0,TX,Hamilton County,6.0,8231.0,11.2,17.3,25.0,4.9,80.8,17.8,33.8,26.9,21.5,0.01956019924675009,8231.0,1028.875,8231.0
48117,13.0,TX,Deaf Smith County,6.0,18850.0,17.3,6.5,27.0,3.1,77.7,28.2,31.1,26.5,14.2,0.002546419098143236,3141.6666666666665,9425.0,4712.5
48033,7.0,TX,Borden County,8.0,660.0,15.2,7.6,17.0,3.6,106.6,6.7,23.3,33.5,36.5,0.006060606060606061,660.0,660.0,660.0
48301,6.0,TX,Loving County,9.0,115.0,8.5,8.5,18.0,4.7,113.4,25.4,31.3,40.3,3.0,-0.034782608695652174,115.0,115.0,115.0
48359,15.0,TX,Oldham County,2.0,2074.0,9.2,5.3,33.0,3.0,95.8,15.2,25.4,33.5,25.9,0.0048216007714561235,2074.0,2074.0,2074.0
48417,13.0,TX,Shackelford County,8.0,3364.0,11.0,5.7,23.0,3.8,97.9,15.5,29.2,30.1,25.2,0.005648038049940547,1682.0,3364.0,3364.0
48297,16.0,TX,Live Oak County,8.0,12022.0,10.5,9.5,23.0,5.9,91.8,20.8,35.2,32.8,11.1,-0.011312593578439528,3005.5,6011.0,6011.0
48333,12.0,TX,Mills County,9.0,4894.0,6.7,11.5,21.0,4.1,76.9,16.9,27.1,33.3,22.8,0.0014303228442991418,4894.0,4894.0,4894.0
48101,10.0,TX,Cottle County,9.0,1404.0,5.6,14.1,37.0,5.1,61.2,27.8,30.3,25.7,16.2,-0.024216524216524215,1404.0,1404.0,1404.0
48379,11.0,TX,Rains County,8.0,11307.0,7.5,13.5,26.0,4.0,83.7,18.1,41.0,31.4,9.5,0.015742460422746973,11307.0,11307.0,11307.0
48325,12.0,TX,Medina County,1.0,49196.0,12.1,8.6,21.0,4.4,90.7,17.5,31.7,31.4,19.4,0.01658671436702171,3514.0,4099.666666666667,24598.0
48351,15.0,TX,Newton County,2.0,14186.0,8.9,9.7,32.0,7.9,73.1,13.3,49.9,29.3,7.5,0.0011983645848019173,14186.0,7093.0,14186.0
48235,10.0,TX,Irion County,3.0,1570.0,10.3,4.5,13.0,3.2,118.9,8.3,38.0,38.0,15.7,0.017197452229299363,1570.0,1570.0,1570.0
48461,16.0,TX,Upton County,8.0,3697.0,17.7,6.0,18.0,5.3,99.6,24.6,37.6,27.8,9.9,0.01271301054909386,3697.0,3697.0,3697.0
48263,12.0,TX,Kent County,9.0,752.0,10.7,5.3,15.0,3.0,79.7,21.7,29.7,24.7,23.9,0.006648936170212766,752.0,752.0,752.0
48031,10.0,TX,Blanco County,8.0,11341.0,9.1,10.5,18.0,3.1,101.9,10.1,31.9,29.3,28.8,0.026717220703641655,2835.25,5670.5,5670.5
48237,12.0,TX,Jack County,6.0,8766.0,11.0,10.2,23.0,4.9,83.0,21.1,41.9,26.2,10.8,-0.008327629477526808,8766.0,2922.0,8766.0
